"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1285","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:59:15,FALSE,NA,"833224413931790337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NeoCypo",36,TRUE,FALSE,NA,NA
"1286","RT @MarkMahon: Weekend Actuals: #LEGOBatmanMovie - $53M, #FiftyShadesDarker- $46.6, #JohnWick2 - $30.4M, #SplitMovie - $9.5M &amp; #HiddenFigur…",FALSE,0,NA,2017-02-19 07:58:46,FALSE,NA,"833224293798526976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TeganSpenard",412,TRUE,FALSE,NA,NA
"1287","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:57:40,FALSE,NA,"833224014067798016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KHVathiel",36,TRUE,FALSE,NA,NA
"1288","RT @MarkMahon: Weekend Forecasts: #LEGOBatmanMovie - $76M, #FiftyShadesDarker- $38.8M, #JohnWick2 - $24.5M, #SplitMovie - $7.6M &amp; #HiddenFi…",FALSE,0,NA,2017-02-19 07:57:29,FALSE,NA,"833223968970649600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PhoebeBodda",436,TRUE,FALSE,NA,NA
"1289","RT @TheDCEU: ""Am I going to stand like a dork in the Lego Batman standee fuck yeah I am""

-@ZackSnyder on @verotruesocial
#legobatmanmovie…",FALSE,0,NA,2017-02-19 07:57:28,FALSE,NA,"833223966693040128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bebop0009",126,TRUE,FALSE,NA,NA
"1290","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:56:37,FALSE,NA,"833223751542173696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DogsDoods",36,TRUE,FALSE,NA,NA
"1291","RT @MarkMahon: Weekend Actuals: #LEGOBatmanMovie - $53M, #FiftyShadesDarker- $46.6, #JohnWick2 - $30.4M, #SplitMovie - $9.5M &amp; #HiddenFigur…",FALSE,0,NA,2017-02-19 07:56:28,FALSE,NA,"833223712749010945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JulianneCrimes",412,TRUE,FALSE,NA,NA
"1292","""Batman doesn't do ship, as in a relationship. There is NO us"" - this is why Batman is my fave superhero <ed><U+00A0><U+00BD><ed><U+00B8><U+0086> #LegoBatmanMovie @LEGOBatmanMovie",FALSE,1,NA,2017-02-19 07:55:37,FALSE,NA,"833223501381120000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","charissgarcia",0,FALSE,FALSE,NA,NA
"1293","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:55:00,FALSE,NA,"833223344287731713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alyalybell",36,TRUE,FALSE,NA,NA
"1294","RT @TheJonathanJuan: Who cares about LEGO Batman now, huh? @arnettwill #LEGOBatmanMovie @jimmykimmel https://t.co/k5hkHUJfbf",FALSE,0,NA,2017-02-19 07:54:56,FALSE,NA,"833223326600351746",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TWillySmith2014",28,TRUE,FALSE,NA,NA
"1295","RT @CarJoeMeZ: Ep. 36: #Lego #Batman! Listen/Subscribe/Review! https://t.co/sVqLNofIYz #PodernFamily #LEGOBatmanMovie #podcast #iTunes #mov…",FALSE,0,NA,2017-02-19 07:54:53,FALSE,NA,"833223316685066240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thedrunkendork",7,TRUE,FALSE,NA,NA
"1296","Yeah! #LEGOBatmanMovie https://t.co/QblPlCCj0U",FALSE,2,NA,2017-02-19 07:54:28,FALSE,NA,"833223211873615872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GeorgKonjovic",0,FALSE,FALSE,NA,NA
"1297","RT @MarkMahon: Weekend Forecasts: #LEGOBatmanMovie - $76M, #FiftyShadesDarker- $38.8M, #JohnWick2 - $24.5M, #SplitMovie - $7.6M &amp; #HiddenFi…",FALSE,0,NA,2017-02-19 07:54:04,FALSE,NA,"833223110644097024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GennaWinger",436,TRUE,FALSE,NA,NA
"1298","RT @MarkMahon: Weekend Forecasts: #LEGOBatmanMovie - $76M, #FiftyShadesDarker- $38.8M, #JohnWick2 - $24.5M, #SplitMovie - $7.6M &amp; #HiddenFi…",FALSE,0,NA,2017-02-19 07:53:46,FALSE,NA,"833223034005762048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PattyHaverty",436,TRUE,FALSE,NA,NA
"1299","RT @_masterdebaters: Master Debaters presents 'Fuck it! Let's review Split and Lego Batman' #PodernFamily #Split #Review #LEGOBatmanMovie h…",FALSE,0,NA,2017-02-19 07:53:35,FALSE,NA,"833222989034426368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thedrunkendork",8,TRUE,FALSE,NA,NA
"1300","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:53:11,FALSE,NA,"833222887595139072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bubbahulk99",36,TRUE,FALSE,NA,NA
"1301","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:53:09,FALSE,NA,"833222879445520384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","randomfox",36,TRUE,FALSE,NA,NA
"1302","RT @MarkMahon: Weekend Forecasts: #LEGOBatmanMovie - $76M, #FiftyShadesDarker- $38.8M, #JohnWick2 - $24.5M, #SplitMovie - $7.6M &amp; #HiddenFi…",FALSE,0,NA,2017-02-19 07:52:42,FALSE,NA,"833222764026855424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlexTharpe",436,TRUE,FALSE,NA,NA
