"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 22:09:14,FALSE,NA,"858080694903480326",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jamesharden1992",174,TRUE,FALSE,NA,NA
"19","RT @LEGOBatmanMovie: Always give credit where credit’s due, unless Batman deserves all the credit. Then scratch that. #LEGOBatmanMovie http…",FALSE,0,NA,2017-04-28 21:32:51,FALSE,NA,"858071537785724928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sketchupscratch",119,TRUE,FALSE,NA,NA
"20","RT @Svenmoravec: I'm batmouth

#LEGOBatmanMovie https://t.co/chgShsY4MW",FALSE,0,NA,2017-04-28 20:46:48,FALSE,NA,"858059949796196353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Disconeedsme",1,TRUE,FALSE,NA,NA
"21","Fin de semana / weekend!!! #lego #batman #imbatman #legobatmanmovie #brucewayne #dccomics… https://t.co/zdUEuV75xV",FALSE,0,NA,2017-04-28 20:37:48,FALSE,NA,"858057685803167745",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Tambigoton",0,FALSE,FALSE,NA,NA
"22","Oups... Wrong color ... #LEGO #LEGOBatmanMovie #joker #orange @LEGO_Group https://t.co/txrQ5Ugeot",FALSE,2,NA,2017-04-28 20:19:51,FALSE,NA,"858053165018755075",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hyperpapate",0,FALSE,FALSE,NA,NA
"23","Treat yourself today for only £4 #Batman #TheJoker #shop #TheKillingJoke #LEGOBatmanMovie #artforsale #dccomics #DC
https://t.co/3oI2RQhYy8",FALSE,0,NA,2017-04-28 19:41:41,FALSE,NA,"858043561010491392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MCHallArt",0,FALSE,FALSE,NA,NA
"24","RT @LEGOBatmanMovie: Always give credit where credit’s due, unless Batman deserves all the credit. Then scratch that. #LEGOBatmanMovie http…",FALSE,0,NA,2017-04-28 19:21:36,FALSE,NA,"858038506387537920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","astroman0079",119,TRUE,FALSE,NA,NA
"25","Drew the Joker again #LEGOBatmanMovie https://t.co/nIOvmTaHPb",FALSE,15,NA,2017-04-28 19:03:25,FALSE,NA,"858033930381000704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","snowdodger1",0,FALSE,FALSE,NA,NA
"26","Bationary 101: There's no 'B' in team, but there is in Batman and Batman works alone. Copyright: Batman!… https://t.co/R0WZptMGIG",FALSE,15,NA,2017-04-28 18:30:04,TRUE,NA,"858025538144804864",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","TheLEGOMoviesUK",3,FALSE,FALSE,NA,NA
"27","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 18:21:50,FALSE,NA,"858023468100718592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrickSome",174,TRUE,FALSE,NA,NA
"28","I'm batmouth

#LEGOBatmanMovie https://t.co/chgShsY4MW",FALSE,7,NA,2017-04-28 18:08:47,FALSE,NA,"858020183142748160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Svenmoravec",1,FALSE,FALSE,NA,NA
"29","#LEGOBatmanMovie &amp; #Sing is now showing as FAMILY AM! Check out the times here: https://t.co/U7F8QNAexI #Wisbech https://t.co/djG8Dl5f5z",FALSE,0,NA,2017-04-28 18:00:24,FALSE,NA,"858018074116665344",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","lightonthefens",0,FALSE,FALSE,NA,NA
"30","Finally #LEGOBatmanMovie https://t.co/RktYpoNUUl",FALSE,1,NA,2017-04-28 18:00:12,FALSE,NA,"858018024909152257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abatapple",0,FALSE,FALSE,NA,NA
"31","Family AM... This week we have #LEGOBatmanMovie https://t.co/N3iuyZRNc6 https://t.co/ZXt0kzJQ8Q",FALSE,0,NA,2017-04-28 18:00:03,FALSE,NA,"858017986665488388",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheLightWalsall",0,FALSE,FALSE,NA,NA
"32","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 17:36:20,FALSE,NA,"858012016568565761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HobbiesGeeks",174,TRUE,FALSE,NA,NA
"33","LEGO Videos on Youtube https://t.co/8MykiDTBBN #LEGO #LEGOBatmanMovie #LEGODimensions #LEGOWorlds #Lego #Minifigures #Minifigure #LegoBatman",FALSE,0,NA,2017-04-28 17:20:44,FALSE,NA,"858008090700124160",NA,"<a href=""http://example.com"" rel=""nofollow"">Twitter Tobor</a>","VOETBALSHIRTS15",0,FALSE,FALSE,NA,NA
"34","@GrimsbyLibrary Teen Movie Night is showing the Lego Batman movie on May 4!  BONUS, it's smokefree!… https://t.co/XPcmEFa6bM",FALSE,0,"GrimsbyLibrary",2017-04-28 17:18:00,TRUE,NA,"858007401890557952","254119576","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HookedHollywood",0,FALSE,FALSE,NA,NA
"35","RT @arnettwill: Chilling with my @LEGOBatmanMovie co-star #Puter...AKA #Siri #LEGOBatmanMovie https://t.co/Nw6HsqwyQI",FALSE,0,NA,2017-04-28 17:13:15,FALSE,NA,"858006206295793667",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThisIsDrew2010",306,TRUE,FALSE,NA,NA
